Общее,Функционал ,Мас OS,Windows,Tablet (android),Mobile (Iphone),Mobile (android),,Мас OS,Windows,Tablet (android),Mobile (Iphone),Mobile (android),Mobile Android 2
,,,,,,,,,,,,,
Регистрация,Отображение Формы авторизации согласно ТЗ,bug,bug,bug,bug,bug,,oтображение не соответствует примеру в тз,oтображение не соответствует примеру в тз,нет фоновой картинки при книжной ориентации,oтображение не соответствует примеру в тз,несоответствия по размерам,отображение не соответствует макету
,Открытие формы регистрации при нажатии Регистрация,ok,ok,ok,ok,ok,,,,,,,
,Отображение страницы Регистрация согласно ТЗ,bug,bug,bug,bug,bug,,oтображение не соответствует примеру в тз,oтображение не соответствует примеру в тз,нет фоновой картинки при книжной ориентации,oтображение не соответствует примеру в тз,несоответствия по размерам,отображение не соответствует макету
,Ввод валидных данных в поле Мейл,ok,ok,bug,ok,ok,,,,"введены валидные (по ТЗ) данные, регистрация невозможна",,,
,Ввод валидных данных в поле Пароль,ok,ok,ok,ok,ok,,,,,,,
,Ввод валидных данных в поле Подтвердите пароль,ok,ok,ok,ok,ok,,,,,,,
,Ввод валидных данных в поле Имя,ok,ok,ok,ok,ok,,,,,,,
,Ввод невалидных данных в поле Мейл,bug,bug,bug,bug,bug,,"1.поле принимает до 10 символов 2. поле принимает больше 63 символов 3. до @ должно быть не меньше 2 символов 4.дефис не может находится в начале или конце  Email (поле принимает дефис спереди, но пользователя с таким мейлом не регистрирует). ","1.поле принимает до 10 символов 2. поле принимает больше 63 символов 3. до @ должно быть не меньше 2 символов 4.дефис не может находится в начале или конце  Email (поле принимает дефис спереди, но пользователя с таким мейлом не регистрирует). ",1. возможен ввод меньше 2 символов до @; 2. возможен ввод меньше 10 символов; ,- возможна регистрация при вводе до 10 символов в поле и больше 63 символов;                                                   - перед @ есть возможность вписать меньше 2 символов;                                                                               ,"1) пропускает кирилицу, знаки %, $, #, =, / и другие;                                                             2) возможно ввести меньше 2 символов до @;                                                                      3) пропускает дефис и подчеркивание в начале и конце поля;                                                              4) возможно ввести до 10 и больше 63 символов в поле.","1.поле принимает до 10 символов 2. поле принимает больше 63 символов 3. до @ должно быть не меньше 2 символа 4.дефис не может находится в начале или конце  Email (поле принимает дефис спереди, но пользователя с таким мейлом не регистрирует). "
,Ввод невалидных данных в поле Пароль,bug,bug,bug,bug,bug,,"поле пароль принимает любые символы и пробел(если вместо обычных символов вписать пробелы,то сложность пароля не указывается)","поле пароль принимает любые символы и пробел(если вместо обычных символов вписать пробелы,то сложность пароля не указывается)",,"поле принимает все символы, а так же пробелы","Поле пропускает что угодно: и цифры, и буквы, и любые знаки, и даже пробел (сложность пароля не указывается при вводе пробелов). Также можно ввести все символы независимо от других (т.е. можно ввести только буквы, или только знаки и т.д.)",
,Ввод невалидных данных в поле Подтвердите пароль,bug,bug,ok,bug,bug,,система пропускает пустое поле,система пропускает пустое поле,,"принимает те же значения, что и поле ""Пароль"" с введенными невалидными данными","Пропускает только идентичные полю ""Пароль"" символы, даже если они невалидные",
,Ввод невалидных данных в поле Имя,bug,bug,bug,bug,bug,,"1.поле имени принимает не только цифры и буквы ,а также все знаки и пробел 2.принимает имя больше 12 символов","1.поле имени принимает не только цифры и буквы ,а также все знаки и пробел 2.принимает имя больше 12 символов","1.поле имени принимает не только цифры и буквы ,а также все знаки и пробел 2.принимает имя больше 12 символов","-поле принимает все символы, а так же пробелы;   - поле принимает значения больше 12 символов",Поле пропускает что угодно. Принимает значения меньше 12.,
,Срабатыватие кнопки Регистрация,ok,ok,ok,ok,ok,,,,,,"Не входит в кабинет, а перенаправляет на страницу входа",
Вход,Отображение страницы Вход согласно ТЗ,bug,bug,bug,bug,bug,,oтображение не соответствует примеру в тз,не соответствует макету ,не соответствует ТЗ,oтображение не соответствует примеру в тз,несоответствия по размерам,
,Ввод валидных данных в поле Мейл,ok,ok,ok,ok,ok,,,,,,,
,Ввод валидных данных в поле Пароль,ok,ok,ok,ok,ok,,,,,,,
,Ввод невалидных данных в поле Мейл,ok,bug,ok,bug,bug,,,1.поле принимает до 10 символов 2. поле принимает больше 63 символов 3. до @ должно быть не меньше 2 символов,,- возможна регистрация при вводе до 10 символов в поле и больше 63 символов;                                                   - перед @ есть возможность вписать меньше 2 символов;                                                                               ,1) возможно ввести меньше 2 символов до @;                                                                                                              2) возможно ввести до 10 и больше 63 символов в поле;,
,Ввод невалидных данных в поле Пароль,bug,bug,ok,bug,bug,,Пропускает невалидные пароли,Пропускает невалидные пароли,,"-поле принимает все символы, а так же пробелы;   - поле принимает значения больше 12 символов","Пропускает только идентичные полю в форме регистрации ""Пароль"" символы (с которыми пользователь зарегестрировался), даже если они невалидные",
,Срабатыватие кнопки Вход,ok,ok,ok,ok,ok,,,,,,,
Главная страница,Проверить отображение страницы согласно ТЗ,bug,bug,bug,bug,-,,не соответствует ТЗ,не соответствует ТЗ,не соответствует ТЗ,не соответствует ТЗ,не соответствует ТЗ,
,"Проверить, что в поле баланса отображается 0 (нулевой баланс)",ok,ok,ok,ok,ok,,,,,,,
,Проверить работу логотипа (должно обновить главную страницу),ok,ok,ok,ok,ok,,,,,,,
,"Проверить работу кнопки ""Статистика"" (в мобильной версии - значек молнии)",ok,ok,ok,ok,ok,,,,,,,
,"Проверить работу кнопки ""Главная"" (в мобильной версии - значек домика)",ok,ok,ok,ok,ok,,,,,,,
,Проверить работу значка доллара (только в мобильной версии) (должна отобразиться таблица Валюта-Покупка-Продажа),-,-,ok*,ok,ok,,,,книжная ориентация,,,
,"Проверить работу кнопки добавления транзакции (""+"")",ok,ok,ok,ok,ok,,,,,,,
,"Проверить работу кнопки ""Выход""",ok,ok,ok,ok,ok,,,,,,"Текст модалки на выход - ""Вы уверены?"". В ТЗ это ""Вы действительно хотите выйти?""
Вместо ""Да"" и ""Нет"" - ""Выйти"" и ""Отмена""",
,Проверить работу функции фильтрации транзакций (сверху должна быть самая свежая транзакция по дате),bug,ok,bug,bug,-,,,,"транзакции стоят в порядке добавления, не по датам. И самая свежая стоит в конце списка. а не в начале","на первом месте стоит самая первая транзакция, чтоб пеерйти к самым свежим нужно скролить вниз","Транзакции стоят в порядке добавления, а не по датам. ",
,Отображение Формы Транзакции согласно ТЗ,bug,bug,bug,bug,bug,,неверное отображение,1.отображение не соответствует макету 2. окно добавления транзакции сливается с гласной страницей,не соответствует ТЗ,"неверно отображено поле формы( не отображены логотип приложения, кнопка ""Выйти""); в форме Доход"" есть возможность выбора комментария, который в  макетеТЗ не предусмотрен; в форме ""Расход"" кнопка ""-"" отображается некорректно.","1) Сверху нет хедера                                                           2) В доходе есть выбор категории (в ТЗ не предусмотрено)                                               3) Модалка всплывает не на весь экран (по бокам видно часть главной страницы, чего нет в макете)",
,"Проверка работы кнопки добавления транзакции (""+"") ",ok,ok,ok,ok,ok,,,,,,,
,"Проверка работоспособности выбора кнопки дохода(""+"") и расхода (""-"")",ok,ok,ok,ok,ok,,,,,,,
,Ввод валидных данных в поле ввода суммы транзакций,ok,ok,ok,ok,ok,,,,,,"1)Позволяет ввести до 16 (включительно) символов                                                         2) Есть возможность ввести 19 символов, если последние три это "".00""",при открытии клавиатуры на телефоне окно добавления транзакций частично становится прозрачным
